"uuid","base","subbase","classe_cnj","orgao_julgador","relator_id","data_julgamento","n_mentions","n_ementa","n_moral","award_ementa","award_any","harm_type"
"4aa9d544-b37c-4b56-806b-f982f3531df3","acordaos","acordaos",198,"7ª TURMA CÍVEL","15e13c4a5d",2024-03-06,12,2,2,NA,NA,"consumer_service"
"4b1e1225-d08f-4227-9e18-3998760ef2e5","acordaos","acordaos",198,"5ª TURMA CÍVEL","a68715f197",2024-03-07,3,0,3,NA,NA,"medical"
"4b945f13-3507-4a6f-b166-0f4808a07269","acordaos","acordaos",198,"6ª TURMA CÍVEL","07312dd681",2024-03-20,30,1,6,NA,1000,"other"
"4ca47a2b-b443-4dc1-99d1-426f9dc063ee","acordaos","acordaos",198,"8ª TURMA CÍVEL","2d19168903",2024-03-21,6,0,3,NA,68760,"medical"
"4ca8cb86-5af3-4469-94f5-6f5cbb5036bb","acordaos","acordaos",198,"6ª TURMA CÍVEL","0915b060c7",2024-03-13,33,0,15,NA,11000,"honor_privacy"
"4d801d4e-114b-4d57-871f-c6ac86202ea9","acordaos","acordaos",198,"3ª TURMA CÍVEL","58d40bdd82",2024-03-20,13,0,2,NA,NA,"other"
"4da9325e-408f-4fcf-9fb5-fe3af77d77c5","acordaos","acordaos",1689,"5ª TURMA CÍVEL","f07ec5c0df",2024-03-14,0,NA,NA,NA,NA,"other"
"4dd1593f-3ae1-4d78-b0fb-7586a573d163","acordaos","acordaos",1689,"8ª TURMA CÍVEL","5ef182d4af",2024-03-19,1,0,0,NA,NA,"other"
"4e33a1a1-2439-48d6-945b-b3f25b51069a","acordaos","acordaos",198,"4ª TURMA CÍVEL","dc185fdca3",2024-03-07,2,0,0,NA,NA,"other"
"4e3ee21d-91bb-48d0-95d1-c18280bb67a4","acordaos","acordaos",198,"5ª TURMA CÍVEL","d17cb21a51",2024-03-21,8,0,7,NA,1000,"other"
"4e9e0efe-e529-4021-a273-67bb07b0cba1","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","9868b4f5a5",2024-03-18,40,13,22,4000,4000,"credit_listing"
"4ef910dd-04ff-455d-ad3e-830d1957c165","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","592078c0d0",2024-03-18,2,1,2,5000,5000,"other"
"4f36c669-9573-4e60-ad2f-66e2eaa33abc","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-26,10,5,6,25000,25000,"wrongful_death"
"4f423ff3-b51c-433c-bfc3-52c289838590","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","73ededad40",2024-03-26,8,4,4,2500,2500,"consumer_service"
"4f563457-86cb-4e74-bdfd-532bd86fe158","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","914b495bd0",2024-03-18,4,2,4,NA,NA,"honor_privacy"
"4f6acaf7-6a88-4c51-88a9-12ced8d046d7","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","c6e9121773",2024-03-26,14,2,8,NA,NA,"other"
"4fc06950-c6ac-45b2-8f4b-13ba4c64db83","acordaos","acordaos",198,"4ª TURMA CÍVEL","ea4916549f",2024-03-21,5,1,5,10000,10000,"medical"
"50009a3c-df5f-4230-bab5-1696c0f33978","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","914b495bd0",2024-03-04,18,9,6,NA,NA,"consumer_service"
"50c928b5-124d-4065-8d2f-44d62bd4b407","acordaos","acordaos",198,"3ª TURMA CÍVEL","f0c2fc1313",2024-03-14,6,0,5,NA,5000,"other"
"5130ed57-0621-4d58-8081-e38079d5b8b2","acordaos","acordaos-tr",206,"SEGUNDA TURMA RECURSAL","5e0c5ae3c3",2024-03-18,0,NA,NA,NA,NA,"banking_fraud"
"513e2f43-5fe3-40f5-ad51-e1514f739145","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","73ededad40",2024-03-26,10,5,4,2949.24,2949.24,"banking_fraud"
"51589056-44f1-4b12-af07-099881150d2d","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","9868b4f5a5",2024-03-04,4,2,4,NA,NA,"other"
"519b0424-91f0-4491-a08b-78193a0b4c64","acordaos","acordaos",198,"4ª TURMA CÍVEL","f9b9a227a6",2024-03-07,3,0,0,NA,NA,"banking_fraud"
"52273cce-008f-4036-86b6-b9a67eb89b09","acordaos","acordaos",417,"2ª TURMA CRIMINAL","fb9644293f",2024-03-07,4,0,2,NA,500,"wrongful_death"
"5234b4a0-4abc-4d51-91e7-bc04f59a0693","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","592078c0d0",2024-03-18,4,2,2,3000,3000,"credit_listing"
"52f44998-b792-4a6e-9c8a-e7a5cc02ed6a","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","ef7646018c",2024-03-26,4,2,4,NA,NA,"other"
"53823985-7da1-408f-b3ac-c9171fcbcb9d","acordaos","acordaos",198,"6ª TURMA CÍVEL","0915b060c7",2024-03-26,5,0,2,NA,NA,"banking_fraud"
"53853fad-d879-46b8-aced-ee298aa84b57","acordaos","acordaos",198,"5ª TURMA CÍVEL","c506524a36",2024-03-14,8,0,3,NA,NA,"consumer_service"
"53a37c0e-1cb3-4d22-b785-629af1647376","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","9868b4f5a5",2024-03-18,102,31,5,10000,10000,"other"
"53bfee81-ee22-4305-bd5f-b3571d006ad6","acordaos","acordaos-tr",460,"TERCEIRA TURMA RECURSAL","e43afa8918",2024-03-18,4,2,2,5000,5000,"other"
"53f15f53-5604-455e-a6dc-019d222422bc","acordaos","acordaos",198,"5ª TURMA CÍVEL","8a4888bf5e",2024-03-21,16,0,12,NA,15000,"medical"
"543fe67f-d74b-4436-a46c-9283dfddfff5","acordaos","acordaos-tr",460,"SEGUNDA TURMA RECURSAL","5e0c5ae3c3",2024-03-18,14,7,6,NA,NA,"other"
"54839d66-487d-4653-9a01-99c0fad2d27a","acordaos","acordaos",198,"6ª TURMA CÍVEL","d30385f876",2024-03-06,15,1,7,3000,3000,"credit_listing"
"5494529a-0c2e-422d-bcaa-15744d3d6a91","acordaos","acordaos",198,"3ª TURMA CÍVEL","8e30f54e7a",2024-03-07,8,0,8,NA,10000,"medical"
"54ec93ad-ed94-4da4-8fad-33cfc9e1fd8e","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","c6e9121773",2024-03-26,52,5,8,NA,NA,"consumer_service"
"5520e962-bf6c-4f32-96f9-3866bc976991","acordaos","acordaos",198,"7ª TURMA CÍVEL","15e13c4a5d",2024-03-13,12,0,8,NA,10000,"honor_privacy"
"55355889-d4ff-4d6f-934f-f9cb3018974f","acordaos","acordaos-tr",460,"PRIMEIRA TURMA RECURSAL","a54167199f",2024-03-26,6,3,4,NA,NA,"medical"
"5571b52c-5a3b-41b5-8ed1-46e3eb8354d2","acordaos","acordaos",198,"1ª TURMA CÍVEL","3f8f67d7e7",2024-03-20,15,0,2,NA,NA,"banking_fraud"
"557da099-f7de-4da3-bf3c-f3ddc1e4ea0a","acordaos","acordaos",198,"2ª TURMA CÍVEL","4981944123",2024-03-06,28,1,12,7000,12000,"air_travel"
